serie_correlativo;numero;nombre_empresa;fecha_de_emision;hora_de_emision;nom_proveedor;cat_proveedor;tipo_documento;doc_proveedor;items;factura.fecha_emision;factura.cliente;factura.id_cliente;factura.total;factura.moneda;factura.estado;item.id_producto;item.codigo_producto;item.nom_producto;item.categoria_producto;item.cantidad;item.valor_unitario;item.precio_unitario;item.descuento;item.subtotal;item.porcentaje_de_igv;item.igv;item.total;item.moneda;item.tipo_de_cambio;item.id_estado;item.nombre_estado;item.id_vendedor;item.nom_vendedor;item.id_cuenta_analitica;item.nom_cuenta_analitica;item.distribucion_analitica;item.evento.id_evento;item.evento.nom_evento;item.evento.fecha_hora_ini_event;item.evento.fecha_hora_fin_event;item.evento.id_organizador;item.evento.nom_organizador;item.evento.tipo_organizador
(03) Boleta BOB1;00000030;COLABORATIVA S.A.C.;2025-10-15;2025-11-04 18:53:04;VIVE ROCK MUSIC;;1;75241793;[{'id_producto': 31271, 'codigo_producto': 1786, 'nom_producto': 'COMISION VAOPE SEGUN CONTRATO', 'categoria_producto': 'service', 'cantidad': '1.0', 'valor_unitario': 12.2, 'precio_unitario': 14.4, 'descuento': 0.0, 'subtotal': 12.2, 'porcentaje_de_igv': '18.00', 'igv': 2.2, 'total': 14.4, 'moneda': '1', 'tipo_de_cambio': 1.0, 'id_estado': 'reversed', 'nombre_estado': 'Revertido', 'evento': {'id_evento': '3100', 'nom_evento': 'Trilogia Pxndx Festival III en Lince', 'fecha_hora_ini_event': '04-10-2025', 'fecha_hora_fin_event': '04-10-2025', 'id_organizador': 5199, 'nom_organizador': 'VIVE ROCK\xa0MUSIC', 'tipo_organizador': 'Persona'}, 'id_vendedor': 2, 'nom_vendedor': 'samuel chuquista', 'id_cuenta_analitica': 1106, 'nom_cuenta_analitica': '7012100 Mercaderías-Venta Local-Terceros', 'distribucion_analitica': []}];2025-10-15;;;;;;31271;1786;COMISION VAOPE SEGUN CONTRATO;service;1.0;12.2;14.4;0.0;12.2;18.0;2.2;14.4;1;1.0;reversed;Revertido;2;samuel chuquista;1106;7012100 Mercaderías-Venta Local-Terceros;[];3100;Trilogia Pxndx Festival III en Lince;2025-10-04;2025-10-04;5199;VIVE ROCK MUSIC;Persona
(03) Boleta BOB1;00000029;COLABORATIVA S.A.C.;2025-10-15;2025-11-04 18:50:23;VIVE ROCK MUSIC;;1;75241793;[{'id_producto': 31268, 'codigo_producto': 216, 'nom_producto': 'COMISION PAGOS DIGITALES SEGUN CONTRATO', 'categoria_producto': 'service', 'cantidad': '1.0', 'valor_unitario': 41.14, 'precio_unitario': 48.55, 'descuento': 0.0, 'subtotal': 41.14, 'porcentaje_de_igv': '18.00', 'igv': 7.41, 'total': 48.55, 'moneda': '1', 'tipo_de_cambio': 1.0, 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '3100', 'nom_evento': 'Trilogia Pxndx Festival III en Lince', 'fecha_hora_ini_event': '04-10-2025', 'fecha_hora_fin_event': '04-10-2025', 'id_organizador': 5199, 'nom_organizador': 'VIVE ROCK\xa0MUSIC', 'tipo_organizador': 'Persona'}, 'id_vendedor': 2, 'nom_vendedor': 'samuel chuquista', 'id_cuenta_analitica': 1106, 'nom_cuenta_analitica': '7012100 Mercaderías-Venta Local-Terceros', 'distribucion_analitica': []}];2025-10-15;;;;;;31268;216;COMISION PAGOS DIGITALES SEGUN CONTRATO;service;1.0;41.14;48.55;0.0;41.14;18.0;7.41;48.55;1;1.0;not_paid;Sin pagar;2;samuel chuquista;1106;7012100 Mercaderías-Venta Local-Terceros;[];3100;Trilogia Pxndx Festival III en Lince;2025-10-04;2025-10-04;5199;VIVE ROCK MUSIC;Persona
(01) Factura FOF1;00000046;COLABORATIVA S.A.C.;2025-10-15;2025-11-04 18:47:50;JP Producciones Generales EIRL;Cliente;6;20608361074;[{'id_producto': 31265, 'codigo_producto': 2316, 'nom_producto': 'DELIVERY', 'categoria_producto': 'service', 'cantidad': '1.0', 'valor_unitario': 14.5, 'precio_unitario': 17.11, 'descuento': 0.0, 'subtotal': 14.5, 'porcentaje_de_igv': '18.00', 'igv': 2.61, 'total': 17.11, 'moneda': '1', 'tipo_de_cambio': 1.0, 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '3081', 'nom_evento': 'El Clásico de la Cumbia Norteña en Huancayo con Agua Marina y Walther Lozada & Orquesta', 'fecha_hora_ini_event': '04-10-2025', 'fecha_hora_fin_event': '04-10-2025', 'id_organizador': 397, 'nom_organizador': 'JP Producciones Generales EIRL', 'tipo_organizador': 'Empresa'}, 'id_vendedor': 2, 'nom_vendedor': 'samuel chuquista', 'id_cuenta_analitica': 1106, 'nom_cuenta_analitica': '7012100 Mercaderías-Venta Local-Terceros', 'distribucion_analitica': []}];2025-10-15;;;;;;31265;2316;DELIVERY;service;1.0;14.5;17.11;0.0;14.5;18.0;2.61;17.11;1;1.0;not_paid;Sin pagar;2;samuel chuquista;1106;7012100 Mercaderías-Venta Local-Terceros;[];3081;El Clásico de la Cumbia Norteña en Huancayo con Agua Marina y Walther Lozada & Orquesta;2025-10-04;2025-10-04;397;JP Producciones Generales EIRL;Empresa
(01) Factura FOF1;00000045;COLABORATIVA S.A.C.;2025-10-15;2025-11-04 18:47:12;JP Producciones Generales EIRL;Cliente;6;20608361074;[{'id_producto': 31262, 'codigo_producto': 2317, 'nom_producto': 'COMISION CORTESIA', 'categoria_producto': 'service', 'cantidad': '1.0', 'valor_unitario': 84.5, 'precio_unitario': 99.71, 'descuento': 0.0, 'subtotal': 84.5, 'porcentaje_de_igv': '18.00', 'igv': 15.21, 'total': 99.71, 'moneda': '1', 'tipo_de_cambio': 1.0, 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '3081', 'nom_evento': 'El Clásico de la Cumbia Norteña en Huancayo con Agua Marina y Walther Lozada & Orquesta', 'fecha_hora_ini_event': '04-10-2025', 'fecha_hora_fin_event': '04-10-2025', 'id_organizador': 397, 'nom_organizador': 'JP Producciones Generales EIRL', 'tipo_organizador': 'Empresa'}, 'id_vendedor': 2, 'nom_vendedor': 'samuel chuquista', 'id_cuenta_analitica': 1106, 'nom_cuenta_analitica': '7012100 Mercaderías-Venta Local-Terceros', 'distribucion_analitica': []}];2025-10-15;;;;;;31262;2317;COMISION CORTESIA;service;1.0;84.5;99.71;0.0;84.5;18.0;15.21;99.71;1;1.0;not_paid;Sin pagar;2;samuel chuquista;1106;7012100 Mercaderías-Venta Local-Terceros;[];3081;El Clásico de la Cumbia Norteña en Huancayo con Agua Marina y Walther Lozada & Orquesta;2025-10-04;2025-10-04;397;JP Producciones Generales EIRL;Empresa
(01) Factura FOF1;00000044;COLABORATIVA S.A.C.;2025-10-15;2025-11-04 18:46:38;JP Producciones Generales EIRL;Cliente;6;20608361074;[{'id_producto': 31259, 'codigo_producto': 2314, 'nom_producto': 'SERV VALIDADORES', 'categoria_producto': 'service', 'cantidad': '1.0', 'valor_unitario': 150.0, 'precio_unitario': 177.0, 'descuento': 0.0, 'subtotal': 150.0, 'porcentaje_de_igv': '18.00', 'igv': 27.0, 'total': 177.0, 'moneda': '1', 'tipo_de_cambio': 1.0, 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '3081', 'nom_evento': 'El Clásico de la Cumbia Norteña en Huancayo con Agua Marina y Walther Lozada & Orquesta', 'fecha_hora_ini_event': '04-10-2025', 'fecha_hora_fin_event': '04-10-2025', 'id_organizador': 397, 'nom_organizador': 'JP Producciones Generales EIRL', 'tipo_organizador': 'Empresa'}, 'id_vendedor': 2, 'nom_vendedor': 'samuel chuquista', 'id_cuenta_analitica': 1106, 'nom_cuenta_analitica': '7012100 Mercaderías-Venta Local-Terceros', 'distribucion_analitica': []}];2025-10-15;;;;;;31259;2314;SERV VALIDADORES;service;1.0;150.0;177.0;0.0;150.0;18.0;27.0;177.0;1;1.0;not_paid;Sin pagar;2;samuel chuquista;1106;7012100 Mercaderías-Venta Local-Terceros;[];3081;El Clásico de la Cumbia Norteña en Huancayo con Agua Marina y Walther Lozada & Orquesta;2025-10-04;2025-10-04;397;JP Producciones Generales EIRL;Empresa
(01) Factura FOF1;00000043;COLABORATIVA S.A.C.;2025-10-15;2025-11-04 18:45:41;JP Producciones Generales EIRL;Cliente;6;20608361074;[{'id_producto': 31256, 'codigo_producto': 2324, 'nom_producto': 'ENTRADAS IMPRESAS', 'categoria_producto': 'consu', 'cantidad': '1.0', 'valor_unitario': 1600.0, 'precio_unitario': 1888.0, 'descuento': 0.0, 'subtotal': 1600.0, 'porcentaje_de_igv': '18.00', 'igv': 288.0, 'total': 1888.0, 'moneda': '1', 'tipo_de_cambio': 1.0, 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '3081', 'nom_evento': 'El Clásico de la Cumbia Norteña en Huancayo con Agua Marina y Walther Lozada & Orquesta', 'fecha_hora_ini_event': '04-10-2025', 'fecha_hora_fin_event': '04-10-2025', 'id_organizador': 397, 'nom_organizador': 'JP Producciones Generales EIRL', 'tipo_organizador': 'Empresa'}, 'id_vendedor': 2, 'nom_vendedor': 'samuel chuquista', 'id_cuenta_analitica': 1106, 'nom_cuenta_analitica': '7012100 Mercaderías-Venta Local-Terceros', 'distribucion_analitica': []}];2025-10-15;;;;;;31256;2324;ENTRADAS IMPRESAS;consu;1.0;1600.0;1888.0;0.0;1600.0;18.0;288.0;1888.0;1;1.0;not_paid;Sin pagar;2;samuel chuquista;1106;7012100 Mercaderías-Venta Local-Terceros;[];3081;El Clásico de la Cumbia Norteña en Huancayo con Agua Marina y Walther Lozada & Orquesta;2025-10-04;2025-10-04;397;JP Producciones Generales EIRL;Empresa
(01) Factura FOF1;00000042;COLABORATIVA S.A.C.;2025-10-15;2025-11-04 18:44:35;JP Producciones Generales EIRL;Cliente;6;20608361074;[{'id_producto': 31253, 'codigo_producto': 2324, 'nom_producto': 'ENTRADAS IMPRESAS', 'categoria_producto': 'consu', 'cantidad': '1.0', 'valor_unitario': 1000.0, 'precio_unitario': 1180.0, 'descuento': 0.0, 'subtotal': 1000.0, 'porcentaje_de_igv': '18.00', 'igv': 180.0, 'total': 1180.0, 'moneda': '1', 'tipo_de_cambio': 1.0, 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '3081', 'nom_evento': 'El Clásico de la Cumbia Norteña en Huancayo con Agua Marina y Walther Lozada & Orquesta', 'fecha_hora_ini_event': '04-10-2025', 'fecha_hora_fin_event': '04-10-2025', 'id_organizador': 397, 'nom_organizador': 'JP Producciones Generales EIRL', 'tipo_organizador': 'Empresa'}, 'id_vendedor': 2, 'nom_vendedor': 'samuel chuquista', 'id_cuenta_analitica': 1106, 'nom_cuenta_analitica': '7012100 Mercaderías-Venta Local-Terceros', 'distribucion_analitica': []}];2025-10-15;;;;;;31253;2324;ENTRADAS IMPRESAS;consu;1.0;1000.0;1180.0;0.0;1000.0;18.0;180.0;1180.0;1;1.0;not_paid;Sin pagar;2;samuel chuquista;1106;7012100 Mercaderías-Venta Local-Terceros;[];3081;El Clásico de la Cumbia Norteña en Huancayo con Agua Marina y Walther Lozada & Orquesta;2025-10-04;2025-10-04;397;JP Producciones Generales EIRL;Empresa
(01) Factura FOF1;00000041;COLABORATIVA S.A.C.;2025-10-15;2025-11-04 18:44:10;JP Producciones Generales EIRL;Cliente;6;20608361074;[{'id_producto': 31250, 'codigo_producto': 1786, 'nom_producto': 'COMISION VAOPE SEGUN CONTRATO', 'categoria_producto': 'service', 'cantidad': '1.0', 'valor_unitario': 6305.08, 'precio_unitario': 7439.99, 'descuento': 0.0, 'subtotal': 6305.08, 'porcentaje_de_igv': '18.00', 'igv': 1134.91, 'total': 7439.99, 'moneda': '1', 'tipo_de_cambio': 1.0, 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '3081', 'nom_evento': 'El Clásico de la Cumbia Norteña en Huancayo con Agua Marina y Walther Lozada & Orquesta', 'fecha_hora_ini_event': '04-10-2025', 'fecha_hora_fin_event': '04-10-2025', 'id_organizador': 397, 'nom_organizador': 'JP Producciones Generales EIRL', 'tipo_organizador': 'Empresa'}, 'id_vendedor': 2, 'nom_vendedor': 'samuel chuquista', 'id_cuenta_analitica': 1106, 'nom_cuenta_analitica': '7012100 Mercaderías-Venta Local-Terceros', 'distribucion_analitica': []}];2025-10-15;;;;;;31250;1786;COMISION VAOPE SEGUN CONTRATO;service;1.0;6305.08;7439.99;0.0;6305.08;18.0;1134.91;7439.99;1;1.0;not_paid;Sin pagar;2;samuel chuquista;1106;7012100 Mercaderías-Venta Local-Terceros;[];3081;El Clásico de la Cumbia Norteña en Huancayo con Agua Marina y Walther Lozada & Orquesta;2025-10-04;2025-10-04;397;JP Producciones Generales EIRL;Empresa
(01) Factura FOF1;00000040;COLABORATIVA S.A.C.;2025-10-15;2025-11-04 18:43:47;JP Producciones Generales EIRL;Cliente;6;20608361074;[{'id_producto': 31247, 'codigo_producto': 216, 'nom_producto': 'COMISION PAGOS DIGITALES SEGUN CONTRATO', 'categoria_producto': 'service', 'cantidad': '1.0', 'valor_unitario': 2880.59, 'precio_unitario': 3399.1, 'descuento': 0.0, 'subtotal': 2880.59, 'porcentaje_de_igv': '18.00', 'igv': 518.51, 'total': 3399.1, 'moneda': '1', 'tipo_de_cambio': 1.0, 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '3081', 'nom_evento': 'El Clásico de la Cumbia Norteña en Huancayo con Agua Marina y Walther Lozada & Orquesta', 'fecha_hora_ini_event': '04-10-2025', 'fecha_hora_fin_event': '04-10-2025', 'id_organizador': 397, 'nom_organizador': 'JP Producciones Generales EIRL', 'tipo_organizador': 'Empresa'}, 'id_vendedor': 2, 'nom_vendedor': 'samuel chuquista', 'id_cuenta_analitica': 1106, 'nom_cuenta_analitica': '7012100 Mercaderías-Venta Local-Terceros', 'distribucion_analitica': []}];2025-10-15;;;;;;31247;216;COMISION PAGOS DIGITALES SEGUN CONTRATO;service;1.0;2880.59;3399.1;0.0;2880.59;18.0;518.51;3399.1;1;1.0;not_paid;Sin pagar;2;samuel chuquista;1106;7012100 Mercaderías-Venta Local-Terceros;[];3081;El Clásico de la Cumbia Norteña en Huancayo con Agua Marina y Walther Lozada & Orquesta;2025-10-04;2025-10-04;397;JP Producciones Generales EIRL;Empresa
(03) Boleta BOB1;00000028;COLABORATIVA S.A.C.;2025-10-15;2025-11-04 18:26:58;FIGUEROA ROSADO GABRIELA BRIYIT;Cliente;1;48595560;[{'id_producto': 31244, 'codigo_producto': 2315, 'nom_producto': 'PAUTA PUBLICITARIA', 'categoria_producto': 'service', 'cantidad': '1.0', 'valor_unitario': 2701.0, 'precio_unitario': 3187.18, 'descuento': 0.0, 'subtotal': 2701.0, 'porcentaje_de_igv': '18.00', 'igv': 486.18, 'total': 3187.18, 'moneda': '1', 'tipo_de_cambio': 1.0, 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '3066', 'nom_evento': 'Son del Duke y mucho más en el Crucero del Amor de SJL', 'fecha_hora_ini_event': '04-10-2025', 'fecha_hora_fin_event': '04-10-2025', 'id_organizador': 387, 'nom_organizador': 'FIGUEROA ROSADO GABRIELA BRIYIT', 'tipo_organizador': 'Persona'}, 'id_vendedor': 2, 'nom_vendedor': 'samuel chuquista', 'id_cuenta_analitica': 1106, 'nom_cuenta_analitica': '7012100 Mercaderías-Venta Local-Terceros', 'distribucion_analitica': []}];2025-10-15;;;;;;31244;2315;PAUTA PUBLICITARIA;service;1.0;2701.0;3187.18;0.0;2701.0;18.0;486.18;3187.18;1;1.0;not_paid;Sin pagar;2;samuel chuquista;1106;7012100 Mercaderías-Venta Local-Terceros;[];3066;Son del Duke y mucho más en el Crucero del Amor de SJL;2025-10-04;2025-10-04;387;FIGUEROA ROSADO GABRIELA BRIYIT;Persona
